"Target","Type","VulnerabilityID","PkgName","InstalledVersion","FixedVersion","Severity","Title"
"usr/bin/mongotop","gobinary","CVE-2026-39829","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted public key with excessive parameters"
"usr/bin/mongotop","gobinary","CVE-2026-39830","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via resource leak from unsolicited SSH responses"
"usr/bin/mongotop","gobinary","CVE-2026-39831","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Security key bypass due to missing user presence check"
"usr/bin/mongotop","gobinary","CVE-2026-39832","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to improper handling of key restrictions"
"usr/bin/mongotop","gobinary","CVE-2026-39835","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via crafted SSH certificate"
"usr/bin/mongotop","gobinary","CVE-2026-42508","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh/knownhosts: golang: golang.org/x/crypto/ssh/knownhosts: Revocation bypass via unchecked SignatureKey"
"usr/bin/mongotop","gobinary","CVE-2026-46595","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authorization bypass due to skipped source-address validation"
"usr/bin/mongotop","gobinary","CVE-2026-46597","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted AES-GCM packet decoder inputs"
"usr/bin/mongotop","gobinary","CVE-2026-56854","golang.org/x/crypto","v0.25.0","0.55.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions"
"usr/bin/mongotop","gobinary","CVE-2026-56852","golang.org/x/text","v0.16.0","0.39.0","HIGH","golang.org/x/text: golang.org/x/text: Denial of Service via invalid UTF-8 input"
"usr/bin/mongotop","gobinary","CVE-2025-68121","stdlib","v1.21.12","1.24.13, 1.25.7, 1.26.0-rc.3","CRITICAL","crypto/tls: crypto/tls: Incorrect certificate validation during TLS session resumption"
"usr/bin/mongotop","gobinary","CVE-2024-34156","stdlib","v1.21.12","1.22.7, 1.23.1","HIGH","encoding/gob: golang: Calling Decoder.Decode on a message which contains deeply nested structures can cause a panic due to stack exhaustion"
"usr/bin/mongotop","gobinary","CVE-2025-61726","stdlib","v1.21.12","1.24.12, 1.25.6","HIGH","golang: net/url: Memory exhaustion in query parameter parsing in net/url"
"usr/bin/mongotop","gobinary","CVE-2025-61729","stdlib","v1.21.12","1.24.11, 1.25.5","HIGH","crypto/x509: golang: Denial of Service due to excessive resource consumption via crafted certificate"
"usr/bin/mongotop","gobinary","CVE-2026-25679","stdlib","v1.21.12","1.25.8, 1.26.1","HIGH","net/url: Incorrect parsing of IPv6 host literals in net/url"
"usr/bin/mongotop","gobinary","CVE-2026-27145","stdlib","v1.21.12","1.25.11, 1.26.4","HIGH","crypto/x509: golang: golang crypto/x509: Denial of Service via excessive processing of DNS SAN entries"
"usr/bin/mongotop","gobinary","CVE-2026-32280","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building"
"usr/bin/mongotop","gobinary","CVE-2026-32281","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation"
"usr/bin/mongotop","gobinary","CVE-2026-32283","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages"
"usr/bin/mongotop","gobinary","CVE-2026-33811","stdlib","v1.21.12","1.25.10, 1.26.3","HIGH","net: golang: Go net package: Denial of Service via long CNAME response in LookupCNAME"
"usr/bin/mongotop","gobinary","CVE-2026-33814","stdlib","v1.21.12","1.25.10, 1.26.3","HIGH","net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame"
"usr/bin/mongotop","gobinary","CVE-2026-33818","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal"
"usr/bin/mongotop","gobinary","CVE-2026-39820","stdlib","v1.21.12","1.25.10, 1.26.3","HIGH","net/mail: golang: Go net/mail: Denial of Service via crafted email inputs"
"usr/bin/mongotop","gobinary","CVE-2026-39821","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing"
"usr/bin/mongotop","gobinary","CVE-2026-39822","stdlib","v1.21.12","1.25.12, 1.26.5, 1.27.0-rc.2","HIGH","golang: Go os.Root: Symlink following vulnerability allows directory traversal"
"usr/bin/mongotop","gobinary","CVE-2026-39836","stdlib","v1.21.12","1.25.10, 1.26.3","HIGH","net: golang: Go net package: Denial of Service via NUL byte in Dial and LookupPort on Windows"
"usr/bin/mongotop","gobinary","CVE-2026-42499","stdlib","v1.21.12","1.25.10, 1.26.3","HIGH","net/mail: golang: net/mail: Denial of Service via pathological email address parsing"
"usr/bin/mongotop","gobinary","CVE-2026-42504","stdlib","v1.21.12","1.25.11, 1.26.4","HIGH","mime: golang: Golang MIME: Denial of Service via maliciously-crafted MIME header"
"usr/bin/mongotop","gobinary","CVE-2026-56853","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service"
"usr/bin/mongotop","gobinary","CVE-2026-56858","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","html/template: golang: Go html/template: Cross-Site Scripting via pathological input"
"usr/bin/mongotop","gobinary","CVE-2026-56859","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue"
"usr/bin/mongotop","gobinary","CVE-2026-56860","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution"
"usr/bin/mongotop","gobinary","CVE-2026-56862","stdlib","v1.21.12","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages"
"usr/local/bin/gosu","gobinary","CVE-2025-68121","stdlib","v1.24.6","1.24.13, 1.25.7, 1.26.0-rc.3","CRITICAL","crypto/tls: crypto/tls: Incorrect certificate validation during TLS session resumption"
"usr/local/bin/gosu","gobinary","CVE-2025-61726","stdlib","v1.24.6","1.24.12, 1.25.6","HIGH","golang: net/url: Memory exhaustion in query parameter parsing in net/url"
"usr/local/bin/gosu","gobinary","CVE-2025-61729","stdlib","v1.24.6","1.24.11, 1.25.5","HIGH","crypto/x509: golang: Denial of Service due to excessive resource consumption via crafted certificate"
"usr/local/bin/gosu","gobinary","CVE-2026-25679","stdlib","v1.24.6","1.25.8, 1.26.1","HIGH","net/url: Incorrect parsing of IPv6 host literals in net/url"
"usr/local/bin/gosu","gobinary","CVE-2026-27145","stdlib","v1.24.6","1.25.11, 1.26.4","HIGH","crypto/x509: golang: golang crypto/x509: Denial of Service via excessive processing of DNS SAN entries"
"usr/local/bin/gosu","gobinary","CVE-2026-32280","stdlib","v1.24.6","1.25.9, 1.26.2","HIGH","crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building"
"usr/local/bin/gosu","gobinary","CVE-2026-32281","stdlib","v1.24.6","1.25.9, 1.26.2","HIGH","crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation"
"usr/local/bin/gosu","gobinary","CVE-2026-32283","stdlib","v1.24.6","1.25.9, 1.26.2","HIGH","crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages"
"usr/local/bin/gosu","gobinary","CVE-2026-33811","stdlib","v1.24.6","1.25.10, 1.26.3","HIGH","net: golang: Go net package: Denial of Service via long CNAME response in LookupCNAME"
"usr/local/bin/gosu","gobinary","CVE-2026-33814","stdlib","v1.24.6","1.25.10, 1.26.3","HIGH","net/http/internal/http2: golang: golang.org/x/net: Go HTTP/2: Denial of Service via malformed SETTINGS_MAX_FRAME_SIZE frame"
"usr/local/bin/gosu","gobinary","CVE-2026-33818","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal"
"usr/local/bin/gosu","gobinary","CVE-2026-39820","stdlib","v1.24.6","1.25.10, 1.26.3","HIGH","net/mail: golang: Go net/mail: Denial of Service via crafted email inputs"
"usr/local/bin/gosu","gobinary","CVE-2026-39821","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing"
"usr/local/bin/gosu","gobinary","CVE-2026-39822","stdlib","v1.24.6","1.25.12, 1.26.5, 1.27.0-rc.2","HIGH","golang: Go os.Root: Symlink following vulnerability allows directory traversal"
"usr/local/bin/gosu","gobinary","CVE-2026-39836","stdlib","v1.24.6","1.25.10, 1.26.3","HIGH","net: golang: Go net package: Denial of Service via NUL byte in Dial and LookupPort on Windows"
"usr/local/bin/gosu","gobinary","CVE-2026-42499","stdlib","v1.24.6","1.25.10, 1.26.3","HIGH","net/mail: golang: net/mail: Denial of Service via pathological email address parsing"
"usr/local/bin/gosu","gobinary","CVE-2026-42504","stdlib","v1.24.6","1.25.11, 1.26.4","HIGH","mime: golang: Golang MIME: Denial of Service via maliciously-crafted MIME header"
"usr/local/bin/gosu","gobinary","CVE-2026-56853","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service"
"usr/local/bin/gosu","gobinary","CVE-2026-56858","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","html/template: golang: Go html/template: Cross-Site Scripting via pathological input"
"usr/local/bin/gosu","gobinary","CVE-2026-56859","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue"
"usr/local/bin/gosu","gobinary","CVE-2026-56860","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution"
"usr/local/bin/gosu","gobinary","CVE-2026-56862","stdlib","v1.24.6","1.25.13, 1.26.6, 1.27.0-rc.3","HIGH","crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages"
